גוף,אפיק,סוג החזקה,שווי,שווי פוסילי,שיעור פוסילי
אלטשולר,גמל,"אג""ח קונצרני",7187983.30999922,876713.8219072013,0.12196937361938538
אלטשולר,גמל,מניות,27656573.386572037,3525518.982526319,0.1274749020150865
אלטשולר,פנסיה,"אג""ח קונצרני",476063.6600000001,63891.87000000002,0.13420866864738218
אלטשולר,פנסיה,מניות,3983896.730000002,533195.07,0.13383757314412106
אנליסט,גמל,"אג""ח קונצרני",2015626.021967383,472918.8235473436,0.23462627411693357
אנליסט,גמל,מניות,4133994.449849249,494140.28054521,0.11953094919206518
הפניקס,ביטוח,"אג""ח קונצרני",12598944.026203528,1760181.853463927,0.1397086811246297
הפניקס,ביטוח,מניות,19931058.36041998,2889392.798677817,0.14496936120641274
הפניקס,גמל,"אג""ח קונצרני",11106285.520000001,1519554.6399999997,0.1368193386766091
הפניקס,גמל,מניות,12901617.299999986,1796490.9600000007,0.13924540762808107
הפניקס,פנסיה,"אג""ח קונצרני",2538431.301894432,322267.00629983825,0.12695518135918443
הפניקס,פנסיה,מניות,13583817.445516175,1980377.4776450787,0.14578946497096612
הראל,ביטוח,"אג""ח קונצרני",7474468.90177428,804410.9324888471,0.10762114914919199
הראל,ביטוח,מניות,13796923.308859544,1930719.8202691518,0.13993843243510393
הראל,גמל,"אג""ח קונצרני",5951289.273591664,697460.0763001669,0.11719478658096595
הראל,גמל,מניות,6159495.305401437,851981.5637312594,0.13832002810102517
הראל,פנסיה,"אג""ח קונצרני",5671705.372783561,650767.1870926649,0.11473924407559294
הראל,פנסיה,מניות,20718072.47733403,2925292.311704703,0.14119519636322486
ילין,גמל,"אג""ח קונצרני",8466943.032515513,912554.7714598387,0.10777854155335216
ילין,גמל,מניות,7874944.195221247,1258655.4220328997,0.15983039255017065
כלל,ביטוח,"אג""ח קונצרני",15398060.301365448,2049837.840241637,0.13312312071279941
כלל,ביטוח,מניות,24174456.79553268,2963421.3884081915,0.1225848180777248
כלל,גמל,"אג""ח קונצרני",10006517.404899584,1333308.2270269063,0.1332439822044447
כלל,גמל,מניות,11148350.657676244,1386525.2992089156,0.1243704420307427
כלל,פנסיה,"אג""ח קונצרני",5412699.623171512,694156.7670360061,0.12824594294210484
כלל,פנסיה,מניות,26199388.418898277,3263052.330969841,0.12454688936998695
מגדל,ביטוח,"אג""ח קונצרני",19885127.99534595,2984971.503207356,0.15011075130650298
מגדל,ביטוח,מניות,27954265.547490757,3730966.181083293,0.13346679327864486
מגדל,גמל,"אג""ח קונצרני",3151437.818543631,473754.254128906,0.15032955793741198
מגדל,גמל,מניות,4147466.478781968,561367.3606814954,0.13535187410275545
מגדל,פנסיה,"אג""ח קונצרני",4774263.176064842,699272.586977944,0.1464671219809703
מגדל,פנסיה,מניות,20043891.268234417,2752843.7353878473,0.1373407837105242
מור,גמל,"אג""ח קונצרני",5943741.995849995,1089564.5451499997,0.1833128937815183
מור,גמל,מניות,6560167.809030004,436306.21736999997,0.06650839278370729
מיטב,גמל,"אג""ח קונצרני",8919820.709999999,753554.42,0.08448089311427429
מיטב,גמל,מניות,11459561.860000007,1358487.5599999998,0.11854620417398742
מיטב,פנסיה,"אג""ח קונצרני",2432121.61,211426.25,0.0869307887939041
מיטב,פנסיה,מניות,6635773.370000004,796162.19,0.11998031662735936
מנורה,ביטוח,"אג""ח קונצרני",4793654.38636464,795537.7525559622,0.1659564266499558
מנורה,ביטוח,מניות,8368037.878378849,1095215.5615760582,0.13088080832017407
מנורה,גמל,"אג""ח קונצרני",3640816.164736556,603449.44898488,0.16574565198584937
מנורה,גמל,מניות,6017451.197265238,769229.9332648839,0.12783318186518527
מנורה,פנסיה,"אג""ח קונצרני",8521689.56948417,1387103.202602394,0.16277326125203562
מנורה,פנסיה,מניות,44180070.03083262,6109172.503336154,0.13827892303187053
